iter	Passed	Remaining
0	12	1226
1	23	1133
2	38	1235
3	52	1262
4	68	1295
5	82	1291
6	93	1240
7	105	1216
8	113	1147
9	120	1080
10	125	1012
11	132	971
12	138	924
13	143	878
14	150	855
15	156	819
16	160	783
17	168	766
18	172	736
19	177	710
20	184	693
21	190	674
22	197	661
23	203	644
24	209	627
25	216	614
26	221	599
27	229	590
28	235	577
29	243	567
30	254	565
31	263	559
32	268	545
33	274	532
34	281	522
35	285	508
36	293	500
37	299	489
38	303	475
39	311	467
40	317	456
41	322	445
42	329	436
43	334	425
44	340	415
45	345	405
46	350	395
47	356	386
48	361	376
49	366	366
50	373	359
51	379	350
52	383	339
53	394	336
54	399	326
55	406	319
56	411	310
57	416	301
58	423	294
59	428	285
60	433	276
61	440	269
62	444	261
63	449	253
64	456	245
65	462	238
66	468	230
67	475	223
68	479	215
69	486	208
70	492	201
71	498	193
72	504	186
73	509	179
74	514	171
75	521	164
76	525	157
77	533	150
78	540	143
79	545	136
80	551	129
81	556	122
82	560	114
83	567	108
84	572	101
85	579	94
86	584	87
87	589	80
88	596	73
89	601	66
90	606	59
91	613	53
92	619	46
93	625	39
94	632	33
95	637	26
96	645	19
97	651	13
98	657	6
99	665	0
